Batch_ID,Product,Manufacturing_Line,Batch_Date,Year,Operator_Team,Temperature_C,Humidity_Percent,Mixing_Speed_RPM,Mixing_Time_Minutes,Production_Time_Hours,API_Assay_Percent,pH,Viscosity_cP,Dissolution_30min_Percent,Yield_Percent,Batch_Status,Failure_Flag,Deviation_Flag,Deviation_Rate_Flag,Deviation_Type,Deviation_Severity
B000427,Antidepressant,Line 1,11-Jul-2024,2024,Team C,20.93,39.74,316.00,40.20,7.72,98.39,6.75,136.00,87.50,95.22,Pass,0,No,0,None,None
B001478,AED,Line 1,03-May-2025,2025,Team D,22.13,46.75,337.00,40.90,6.24,99.07,6.92,131.00,84.84,95.22,Pass,0,No,0,None,None
B002043,COX-2 Inhibitor,Line 1,27-Jun-2024,2024,Team C,21.81,52.15,357.00,48.80,6.79,98.51,7.01,117.10,88.92,93.65,Pass,0,No,0,None,None
B000834,COX-2 Inhibitor,Line 2,08-Oct-2025,2025,Team B,22.85,34.55,323.00,39.70,7.15,99.62,6.53,121.10,85.71,93.66,Pass,0,No,0,None,None
B000346,AED,Line 3,14-Nov-2025,2025,Team B,21.67,40.05,341.00,41.90,7.37,98.58,6.97,140.50,90.52,95.21,Pass,0,No,0,None,None
B001745,COX-2 Inhibitor,Line 1,18-Jul-2024,2024,Team B,22.60,40.41,367.00,45.20,7.12,98.93,6.54,123.30,89.26,93.66,Pass,0,No,0,None,None
B000993,AED,Line 1,07-Sep-2024,2024,Team C,22.00,56.42,333.00,42.30,6.92,98.52,7.07,136.30,89.07,95.21,Pass,0,No,0,None,None
B002845,Antidepressant,Line 2,20-Jul-2024,2024,Team A,22.87,44.86,359.00,39.50,7.10,99.26,6.63,125.90,88.33,95.21,Pass,0,No,0,None,None
B001801,COX-2 Inhibitor,Line 2,11-Nov-2024,2024,Team B,21.17,43.18,320.00,40.50,6.81,99.65,6.84,109.40,83.80,93.66,Pass,0,No,0,None,None
B000008,AED,Line 1,20-Nov-2024,2024,Team A,22.67,43.86,316.00,42.20,7.62,99.04,7.10,115.00,90.95,95.20,Pass,0,No,0,None,None
B000852,Antidepressant,Line 1,21-May-2024,2024,Team A,21.73,36.63,308.00,39.10,6.99,99.13,6.74,127.50,91.09,95.20,Pass,0,No,0,None,None
B000538,Antidepressant,Line 2,15-Dec-2025,2025,Team A,22.27,51.64,339.00,35.20,6.77,98.52,6.91,122.90,90.67,95.19,Pass,0,No,0,None,None
B000749,AED,Line 1,02-Dec-2024,2024,Team D,23.56,46.52,292.00,46.50,6.97,99.04,6.77,135.60,86.58,95.19,Pass,0,No,0,None,None
B000849,Antidepressant,Line 1,26-Feb-2024,2024,Team B,21.17,32.22,356.00,40.90,6.12,99.14,6.55,110.70,87.66,95.19,Pass,0,No,0,None,None
B000909,Antidepressant,Line 2,15-Mar-2025,2025,Team B,21.95,32.57,323.00,44.20,6.99,99.31,6.58,125.80,86.92,95.19,Pass,0,No,0,None,None
B001994,Antidepressant,Line 2,26-Apr-2024,2024,Team C,,38.43,311.00,44.40,6.78,99.28,6.74,115.00,87.80,95.19,Pass,0,No,0,None,None
B002655,GLP-1 Agonist,Line 1,16-Jan-2025,2025,Team B,20.56,42.50,280.00,51.40,8.22,98.76,,141.10,85.58,95.19,Pass,0,No,0,None,None
B001379,COX-2 Inhibitor,Line 3,31-Oct-2024,2024,Team B,22.53,42.49,332.00,46.20,7.90,99.28,,129.20,87.28,93.68,Pass,0,Yes,1,Equipment,Minor
B000404,Antidepressant,Line 3,21-Jan-2025,2025,Team B,22.01,46.02,348.00,42.90,7.17,99.29,6.96,125.20,85.78,95.18,Pass,0,No,0,None,None
B000981,AED,Line 1,15-May-2024,2024,Team B,22.65,49.82,290.00,47.80,8.36,98.63,,143.20,88.58,95.18,Pass,0,No,0,None,None
B001158,Antidepressant,Line 1,16-Dec-2025,2025,Team D,21.71,43.65,316.00,41.30,6.85,99.11,6.84,,85.08,95.18,Pass,0,No,0,None,None
B001185,Antidepressant,Line 3,17-Mar-2024,2024,Team B,21.89,34.30,320.00,42.30,7.34,99.19,6.70,126.60,87.90,95.18,Pass,0,No,0,None,None
B001264,AED,Line 3,21-Oct-2025,2025,Team A,21.79,42.53,315.00,40.80,7.59,99.01,6.76,118.20,87.00,95.18,Pass,0,No,0,None,None
B001608,Antidepressant,Line 1,05-Dec-2024,2024,Team B,22.28,43.20,333.00,35.40,7.16,99.19,6.70,119.40,84.84,95.18,Pass,0,No,0,None,None
B001713,AED,Line 2,23-Mar-2024,2024,Team D,21.32,45.02,335.00,49.30,8.85,99.07,6.86,125.20,85.98,95.18,Pass,0,No,0,None,None
B000017,COX-2 Inhibitor,Line 3,01-Jul-2025,2025,Team B,21.94,44.05,319.00,35.20,7.52,99.03,6.84,123.00,89.39,93.70,Pass,0,No,0,None,None
B001800,COX-2 Inhibitor,Line 3,04-Aug-2025,2025,Team D,22.55,38.92,341.00,33.90,7.49,99.46,6.68,106.10,88.39,93.70,Pass,0,No,0,None,None
B001976,Antidepressant,Line 2,16-Feb-2024,2024,Team A,21.64,44.71,291.00,45.90,7.55,,6.83,115.60,90.01,95.18,Pass,0,No,0,None,None
B002274,AED,Line 3,09-Jul-2024,2024,Team A,22.03,39.51,273.00,48.00,7.89,99.19,6.86,124.20,88.25,95.18,Pass,0,No,0,None,None
B002289,Antidepressant,Line 1,30-May-2024,2024,Team D,22.26,31.48,338.00,34.80,6.14,99.41,6.62,129.20,88.45,95.18,Pass,0,Yes,1,Environmental,Minor
B000732,Antidepressant,Line 3,05-Dec-2024,2024,Team B,21.72,50.02,320.00,36.30,6.83,98.96,7.01,144.20,90.53,95.17,Pass,0,No,0,None,None
B001949,Antidepressant,Line 2,23-Apr-2024,2024,Team B,21.02,47.31,351.00,40.90,7.25,98.85,6.73,,87.35,95.17,Pass,0,Yes,1,Equipment,Minor
B000817,AED,Line 2,14-Jan-2024,2024,Team B,22.63,45.38,305.00,46.10,6.78,98.98,7.00,130.80,89.19,95.16,Pass,0,No,0,None,None
B001468,Antidepressant,Line 2,20-Mar-2025,2025,Team D,,37.55,316.00,35.80,6.66,98.66,6.75,100.60,86.80,95.16,Pass,0,No,0,None,None
B000711,AED,Line 3,03-Aug-2025,2025,Team D,20.28,48.50,334.00,49.90,8.01,98.83,7.06,129.90,85.72,95.15,Pass,0,No,0,None,None
B001576,Antidepressant,Line 1,30-Oct-2025,2025,Team C,23.26,42.48,320.00,36.70,6.24,99.18,6.83,123.90,92.78,95.15,Pass,0,No,0,None,None
B002244,Antidepressant,Line 1,15-Mar-2025,2025,Team A,23.96,36.80,305.00,40.00,6.44,99.57,6.79,144.40,89.96,95.15,Pass,0,No,0,None,None
B001140,COX-2 Inhibitor,Line 3,17-Dec-2025,2025,Team D,22.60,46.09,314.00,41.20,5.90,99.09,6.80,125.90,90.94,93.71,Pass,0,Yes,1,Material,Minor
B001244,Antidepressant,Line 2,27-Feb-2025,2025,Team B,23.57,46.68,356.00,44.20,6.39,99.30,6.96,122.60,90.01,95.14,Pass,0,No,0,None,None
B000135,COX-2 Inhibitor,Line 3,28-Apr-2025,2025,Team D,21.62,42.17,375.00,36.10,6.29,99.43,6.57,131.20,90.05,93.72,Pass,0,No,0,None,None
B000371,COX-2 Inhibitor,Line 3,22-May-2025,2025,Team A,21.95,36.51,359.00,34.10,7.40,99.60,6.59,116.80,90.93,93.72,Pass,0,No,0,None,None
B001377,COX-2 Inhibitor,Line 3,29-Dec-2024,2024,Team B,22.15,41.70,318.00,42.10,6.77,99.10,6.51,120.00,92.04,93.73,Pass,0,No,0,None,None
B002228,Antidepressant,Line 1,21-Feb-2024,2024,Team C,21.87,41.45,343.00,35.20,7.27,99.12,6.74,107.50,86.93,95.14,Pass,0,No,0,None,None
B002813,COX-2 Inhibitor,Line 3,28-Oct-2025,2025,Team A,21.66,48.11,348.00,43.70,7.80,99.22,6.89,122.10,87.36,93.73,Pass,0,No,0,None,None
B001200,COX-2 Inhibitor,Line 1,11-Nov-2025,2025,Team B,23.53,40.57,372.00,36.50,6.83,98.87,6.84,124.90,87.99,93.74,Pass,0,No,0,None,None
B002441,AED,Line 1,02-Dec-2024,2024,Team B,21.17,42.20,319.00,48.40,8.48,98.68,7.10,110.60,88.95,95.13,Pass,0,No,0,None,None
B002237,Antidepressant,Line 1,02-Sep-2025,2025,Team D,23.07,54.40,277.00,47.20,7.68,99.20,7.02,136.50,87.05,95.12,Pass,0,Yes,1,Process,Major
B001095,COX-2 Inhibitor,Line 1,19-Jun-2024,2024,Team A,22.86,45.31,340.00,43.40,7.71,98.83,6.59,135.90,87.81,93.75,Pass,0,No,0,None,None
B000284,Antidepressant,Line 1,30-Oct-2025,2025,Team A,22.79,44.28,323.00,40.80,6.38,99.16,6.91,135.50,87.33,95.11,Pass,0,No,0,None,None
B000363,Antidepressant,Line 2,27-Apr-2025,2025,Team D,21.19,41.36,331.00,45.30,6.63,98.96,6.90,135.90,87.52,95.11,Pass,0,No,0,None,None
B000185,COX-2 Inhibitor,Line 1,05-Nov-2025,2025,Team A,21.66,43.28,316.00,36.50,7.12,99.04,6.55,108.50,89.04,93.76,Pass,0,No,0,None,None
B001159,GLP-1 Agonist,Line 2,09-Apr-2025,2025,Team A,22.38,32.58,320.00,50.40,8.90,98.90,6.84,128.00,84.62,95.11,Pass,0,No,0,None,None
B000534,COX-2 Inhibitor,Line 1,15-Jun-2025,2025,Team A,22.11,46.24,362.00,26.60,7.15,99.58,6.84,110.00,90.41,93.77,Pass,0,No,0,None,None
B001234,COX-2 Inhibitor,Line 3,01-Mar-2025,2025,Team B,22.09,54.44,360.00,43.90,6.93,99.22,6.81,136.60,87.63,93.77,Pass,0,No,0,None,None
B002284,COX-2 Inhibitor,Line 2,24-Dec-2025,2025,Team C,23.66,44.75,333.00,37.80,6.70,98.78,6.87,120.30,89.04,93.77,Pass,0,No,0,None,None
B002649,COX-2 Inhibitor,Line 2,26-Dec-2025,2025,Team D,23.09,43.67,379.00,37.90,6.10,98.90,6.73,117.60,87.63,93.77,Pass,0,No,0,None,None
B000368,COX-2 Inhibitor,Line 2,13-Sep-2025,2025,Team C,23.76,39.34,332.00,35.10,7.01,99.19,6.63,124.90,87.75,93.78,Pass,0,No,0,None,None
B001134,COX-2 Inhibitor,Line 2,03-Apr-2024,2024,Team C,22.93,48.29,295.00,41.50,7.74,98.95,6.88,110.40,87.96,93.78,Pass,0,No,0,None,None
B001358,GLP-1 Agonist,Line 1,29-Jan-2025,2025,Team A,23.46,51.31,307.00,47.70,8.52,98.61,7.16,133.20,,95.09,Pass,0,No,0,None,None
B002094,Antidepressant,Line 2,29-Jun-2025,2025,Team B,21.31,34.85,315.00,45.30,7.46,99.68,6.47,134.50,86.85,95.09,Pass,0,No,0,None,None
B002437,COX-2 Inhibitor,Line 3,07-Mar-2024,2024,Team D,22.84,41.05,343.00,30.40,7.38,98.90,6.68,112.60,89.36,93.78,Pass,0,No,0,None,None
B000156,COX-2 Inhibitor,Line 1,21-Jan-2024,2024,Team B,23.81,42.94,318.00,32.00,6.10,99.53,6.63,130.90,86.49,93.79,Pass,0,Yes,1,Process,Minor
B000093,GLP-1 Agonist,Line 3,10-Dec-2024,2024,Team D,20.74,45.76,315.00,47.20,8.41,98.68,7.00,138.10,83.64,95.08,Pass,0,No,0,None,None
B000737,Antidepressant,Line 1,08-Sep-2025,2025,Team B,21.94,40.79,346.00,44.90,6.19,99.80,7.10,119.80,88.22,95.08,Pass,0,No,0,None,None
B001188,AED,Line 1,24-Dec-2025,2025,Team D,21.30,42.23,331.00,43.80,6.17,99.40,7.05,120.30,84.83,95.08,Pass,0,No,0,None,None
B000390,AED,Line 1,29-Jun-2024,2024,Team A,22.56,,294.00,45.10,5.94,98.78,7.13,120.60,85.88,95.07,Pass,0,No,0,None,None
B000654,Antidepressant,Line 1,31-Jul-2025,2025,Team D,21.04,45.43,319.00,39.00,7.50,99.27,6.92,110.40,85.93,95.07,Pass,0,No,0,None,None
B002105,COX-2 Inhibitor,Line 3,05-Jul-2024,2024,Team C,22.51,49.36,353.00,45.30,6.90,98.89,6.83,137.60,88.05,93.80,Pass,0,No,0,None,None
B002326,AED,Line 1,26-Dec-2025,2025,Team C,21.99,46.01,291.00,43.60,6.57,99.04,7.00,151.60,88.71,95.07,Pass,0,No,0,None,None
B000365,COX-2 Inhibitor,Line 1,15-Feb-2025,2025,Team B,,33.72,325.00,29.20,6.75,99.42,6.32,108.10,89.02,93.82,Pass,0,No,0,None,None
B000527,AED,Line 1,10-May-2025,2025,Team B,21.40,43.81,320.00,38.70,7.19,99.01,6.94,112.50,88.69,95.06,Pass,0,No,0,None,None
B001618,COX-2 Inhibitor,Line 2,28-Sep-2024,2024,Team B,22.61,,324.00,45.80,6.67,99.20,6.92,116.10,83.30,93.82,Pass,0,No,0,None,None
B002787,COX-2 Inhibitor,Line 3,07-Jun-2024,2024,Team A,22.92,44.61,316.00,41.70,6.78,99.11,6.90,112.20,86.68,93.82,Pass,0,No,0,None,None
B001681,COX-2 Inhibitor,Line 3,15-Dec-2024,2024,Team C,22.72,43.64,358.00,34.90,7.10,99.36,6.73,116.10,90.41,93.83,Pass,0,Yes,1,Material,Minor
B002870,Antidepressant,Line 1,14-Aug-2025,2025,Team A,21.95,48.98,346.00,44.00,6.72,99.79,7.00,117.30,88.53,95.06,Pass,0,No,0,None,None
B002292,COX-2 Inhibitor,Line 2,04-Oct-2024,2024,Team C,23.06,38.07,360.00,40.60,6.77,99.28,6.67,107.40,87.34,93.83,Pass,0,No,0,None,None
B000832,COX-2 Inhibitor,Line 2,17-Dec-2025,2025,Team A,22.66,39.09,316.00,44.60,7.07,99.36,6.65,134.70,85.18,93.85,Pass,0,No,0,None,None
B001850,COX-2 Inhibitor,Line 3,07-Sep-2024,2024,Team B,23.56,39.56,330.00,46.60,7.50,99.41,6.75,131.90,85.71,93.85,Pass,0,Yes,1,Equipment,Minor
B001107,Antidepressant,Line 3,04-Jul-2025,2025,Team D,21.91,44.07,317.00,49.10,7.59,99.16,6.74,154.00,88.60,95.04,Pass,0,No,0,None,None
B001632,AED,Line 2,04-Feb-2025,2025,Team A,21.32,37.44,300.00,47.00,7.20,99.10,6.81,124.00,88.44,95.04,Pass,0,No,0,None,None
B001887,Antidepressant,Line 1,07-Dec-2024,2024,Team B,22.08,39.44,316.00,41.30,7.16,99.20,,129.30,88.61,95.04,Pass,0,No,0,None,None
B002793,COX-2 Inhibitor,Line 1,18-Feb-2025,2025,Team B,21.26,44.40,351.00,36.20,7.70,99.50,6.72,121.70,86.92,93.85,Pass,0,No,0,None,None
B001683,COX-2 Inhibitor,Line 3,04-Jun-2024,2024,Team C,23.37,41.79,336.00,45.20,6.66,99.03,6.84,118.00,90.24,93.86,Pass,0,No,0,None,None
B000575,AED,Line 1,01-Nov-2025,2025,Team A,20.25,44.75,301.00,44.50,8.40,99.11,6.90,151.60,83.66,95.03,Pass,0,No,0,None,None
B000998,Antidepressant,Line 2,18-Jun-2024,2024,Team B,22.15,41.62,312.00,47.50,7.14,99.41,6.69,136.10,87.05,95.03,Pass,0,No,0,None,None
B001143,AED,Line 1,24-May-2024,2024,Team A,21.60,43.85,296.00,48.60,7.55,99.05,,122.10,85.85,95.03,Pass,0,No,0,None,None
B001891,Antidepressant,Line 1,20-Jul-2025,2025,Team D,21.72,48.00,326.00,44.20,7.28,99.43,6.86,123.50,85.82,95.03,Pass,0,No,0,None,None
B002209,Antidepressant,Line 1,03-Dec-2024,2024,Team D,21.82,41.44,316.00,44.90,7.60,99.07,6.98,115.40,84.18,95.03,Pass,0,No,0,None,None
B000178,AED,Line 2,27-Mar-2025,2025,Team B,21.58,47.17,301.00,41.80,7.51,98.32,6.86,138.10,88.72,95.02,Pass,0,No,0,None,None
B001056,COX-2 Inhibitor,Line 3,17-Jun-2025,2025,Team A,23.06,42.12,317.00,47.10,7.63,99.03,6.72,147.30,88.55,93.87,Pass,0,No,0,None,None
B001359,COX-2 Inhibitor,Line 2,25-Jul-2024,2024,Team A,22.64,39.93,335.00,41.30,7.29,99.50,6.61,128.20,90.03,93.87,Pass,0,No,0,None,None
B000819,COX-2 Inhibitor,Line 3,26-Apr-2024,2024,Team A,23.68,37.84,332.00,35.20,7.19,98.69,6.75,128.90,88.89,93.88,Pass,0,No,0,None,None
B001819,GLP-1 Agonist,Line 2,14-May-2025,2025,Team C,21.82,47.83,317.00,50.00,8.15,98.97,7.17,136.90,,95.01,Pass,0,No,0,None,None
B002665,GLP-1 Agonist,Line 1,05-Feb-2025,2025,Team B,22.41,39.61,287.00,49.80,8.57,99.40,7.08,134.80,82.76,95.01,Pass,0,No,0,None,None
B000577,AED,Line 3,13-May-2025,2025,Team B,22.37,37.57,303.00,48.20,7.07,99.24,6.62,136.90,85.43,95.00,Pass,0,No,0,None,None
B001316,COX-2 Inhibitor,Line 2,05-Jun-2024,2024,Team D,21.07,51.13,369.00,34.50,5.96,99.23,6.98,107.00,88.30,93.88,Pass,0,No,0,None,None
B001195,AED,Line 1,01-Sep-2025,2025,Team D,22.52,44.29,323.00,48.00,8.13,99.02,7.05,136.10,87.83,95.00,Pass,0,No,0,None,None
B001051,COX-2 Inhibitor,Line 3,28-Jul-2025,2025,Team A,22.32,37.12,318.00,45.80,7.88,98.84,6.63,,83.54,93.89,Pass,0,No,0,None,None
B002341,Antidepressant,Line 1,02-Mar-2024,2024,Team A,20.76,39.03,325.00,35.50,7.19,99.07,,115.80,,95.00,Pass,0,No,0,None,None
B000353,COX-2 Inhibitor,Line 1,16-Jul-2024,2024,Team C,21.16,38.03,355.00,32.10,5.73,99.06,6.69,129.50,90.88,93.90,Pass,0,No,0,None,None
B002570,AED,Line 3,15-Jun-2025,2025,Team D,20.32,54.90,301.00,40.00,7.63,98.64,7.23,126.80,89.33,94.99,Pass,0,No,0,None,None
B001866,AED,Line 1,06-Oct-2025,2025,Team C,22.85,43.89,293.00,44.70,7.01,98.72,6.91,141.20,89.35,94.98,Pass,0,No,0,None,None
B002240,GLP-1 Agonist,Line 2,15-Jun-2025,2025,Team C,22.61,40.93,321.00,45.80,7.70,98.83,7.16,132.40,84.24,94.98,Pass,0,No,0,None,None
B002021,COX-2 Inhibitor,Line 3,29-Aug-2024,2024,Team C,22.68,40.57,337.00,33.90,6.88,99.20,6.76,,89.49,93.90,Pass,0,No,0,None,None
B001310,AED,Line 2,01-Apr-2025,2025,Team C,21.38,43.80,328.00,40.90,7.86,98.99,6.82,132.40,89.84,94.97,Pass,0,No,0,None,None
B000461,COX-2 Inhibitor,Line 2,26-Jul-2025,2025,Team B,23.41,46.30,344.00,33.90,6.17,98.89,6.89,112.20,85.89,93.91,Pass,0,No,0,None,None
B000351,COX-2 Inhibitor,Line 1,08-Feb-2024,2024,Team A,22.89,45.95,320.00,42.30,6.95,99.60,6.79,108.00,87.15,93.92,Pass,0,No,0,None,None
B002508,AED,Line 2,29-Aug-2025,2025,Team C,21.21,35.71,323.00,43.60,7.45,98.92,6.97,131.70,88.77,94.97,Pass,0,No,0,None,None
B002614,COX-2 Inhibitor,Line 2,18-Jan-2024,2024,Team A,22.26,44.96,335.00,42.40,6.55,98.98,6.70,124.10,86.39,93.92,Pass,0,Yes,1,Environmental,Minor
B001653,Antidepressant,Line 1,16-Sep-2025,2025,Team C,20.71,42.11,319.00,43.10,7.15,99.35,6.80,117.40,85.39,94.96,Pass,0,No,0,None,None
B002068,AED,Line 2,12-Nov-2025,2025,Team A,22.29,37.33,341.00,42.70,6.77,99.56,6.83,128.30,86.13,94.96,Pass,0,No,0,None,None
B002174,Antidepressant,Line 1,12-Apr-2024,2024,Team C,23.22,45.37,308.00,35.90,6.30,99.50,6.89,122.30,90.82,94.96,Pass,0,No,0,None,None
B002911,COX-2 Inhibitor,Line 3,12-Jun-2025,2025,Team B,22.05,36.68,322.00,28.90,6.48,99.23,6.40,106.80,89.67,93.93,Pass,0,No,0,None,None
B001017,COX-2 Inhibitor,Line 1,22-Oct-2024,2024,Team C,22.21,40.06,339.00,30.50,6.44,,6.83,110.50,99.35,93.94,Pass,0,No,0,None,None
B001742,Antidepressant,Line 1,04-Nov-2024,2024,Team C,21.69,46.86,305.00,45.30,7.40,99.32,6.72,121.20,84.28,94.95,Pass,0,No,0,None,None
B001485,COX-2 Inhibitor,Line 3,09-May-2024,2024,Team B,22.29,48.87,358.00,43.10,6.93,99.06,6.59,130.80,88.24,93.94,Failed,1,Yes,1,Material,Minor
B002406,Antidepressant,Line 3,02-Jun-2024,2024,Team A,21.58,46.11,353.00,36.10,7.38,98.68,6.92,114.70,89.85,94.95,Pass,0,No,0,None,None
B002331,COX-2 Inhibitor,Line 3,24-Dec-2024,2024,Team A,21.83,36.39,329.00,40.70,7.59,99.53,6.77,125.90,84.43,93.94,Pass,0,Yes,1,Equipment,Major
B001293,COX-2 Inhibitor,Line 1,05-Nov-2025,2025,Team A,23.84,44.29,364.00,43.40,6.93,98.78,6.74,126.80,90.44,93.95,Pass,0,No,0,None,None
B000352,Antidepressant,Line 1,21-Jan-2025,2025,Team D,22.72,42.60,320.00,43.90,7.05,99.14,6.65,133.80,,94.94,Pass,0,No,0,None,None
B000485,Antidepressant,Line 3,07-Mar-2025,2025,Team B,21.76,,332.00,40.40,6.19,99.24,6.74,122.40,86.44,94.94,Pass,0,Yes,1,Process,Minor
B000516,Antidepressant,Line 3,21-Jan-2024,2024,Team A,22.03,50.47,327.00,38.00,7.44,99.18,6.94,135.90,89.57,94.94,Pass,0,No,0,None,None
B000541,AED,Line 3,18-Nov-2024,2024,Team D,21.39,47.47,337.00,46.20,6.65,99.03,6.86,139.20,83.51,94.94,Pass,0,No,0,None,None
B001001,Antidepressant,Line 3,29-Dec-2025,2025,Team C,22.33,39.74,293.00,42.60,7.88,99.30,6.72,134.60,86.40,94.94,Pass,0,No,0,None,None
B001575,Antidepressant,Line 3,11-Oct-2024,2024,Team C,21.09,36.85,361.00,42.30,7.59,99.04,6.50,132.10,88.83,94.94,Pass,0,No,0,None,None
B001858,GLP-1 Agonist,Line 2,05-Dec-2025,2025,Team B,21.03,45.57,323.00,48.80,8.28,98.75,7.23,124.90,86.68,94.94,Pass,0,No,0,None,None
B002115,Antidepressant,Line 1,30-Sep-2025,2025,Team D,22.53,35.32,295.00,42.00,7.32,,6.95,141.60,85.95,94.94,Pass,0,No,0,None,None
B002266,Antidepressant,Line 1,04-Jan-2024,2024,Team A,23.33,,327.00,36.50,6.31,98.95,6.85,120.80,89.03,94.94,Pass,0,No,0,None,None
B001094,Antidepressant,Line 1,06-Jun-2025,2025,Team A,21.83,42.26,312.00,45.20,5.77,99.19,6.63,126.90,86.49,94.93,Pass,0,No,0,None,None
B001390,Antidepressant,Line 2,22-Oct-2025,2025,Team B,20.91,36.99,332.00,42.90,7.10,99.35,6.73,137.00,86.16,94.93,Pass,0,No,0,None,None
B001918,COX-2 Inhibitor,Line 2,24-Apr-2025,2025,Team B,21.99,44.71,349.00,30.70,7.09,99.13,6.79,109.30,88.44,93.95,Pass,0,No,0,None,None
B002366,COX-2 Inhibitor,Line 3,21-Jul-2025,2025,Team C,22.60,52.79,328.00,36.10,6.22,98.82,6.88,119.80,88.58,93.95,Pass,0,No,0,None,None
B002496,GLP-1 Agonist,Line 1,18-Sep-2025,2025,Team A,20.66,38.42,297.00,48.60,7.92,98.95,6.87,118.30,86.89,94.93,Pass,0,No,0,None,None
B000196,Antidepressant,Line 2,29-May-2025,2025,Team C,22.96,40.70,309.00,36.70,7.46,99.16,6.80,144.00,88.76,94.92,Pass,0,No,0,None,None
B000419,Antidepressant,Line 1,04-Sep-2024,2024,Team A,19.55,37.83,296.00,39.40,6.81,99.08,6.49,125.60,88.33,94.92,Pass,0,No,0,None,None
B000753,Antidepressant,Line 2,27-Jan-2024,2024,Team B,22.00,41.88,335.00,49.40,7.77,99.13,6.67,118.30,84.31,94.92,Pass,0,No,0,None,None
B002561,COX-2 Inhibitor,Line 3,04-Aug-2024,2024,Team A,22.28,40.31,332.00,42.40,6.52,99.23,6.82,141.80,88.28,93.95,Pass,0,No,0,None,None
B002569,COX-2 Inhibitor,Line 1,15-Dec-2024,2024,Team A,21.59,46.80,335.00,40.50,6.06,99.21,6.91,118.90,84.84,93.95,Pass,0,No,0,None,None
B002720,COX-2 Inhibitor,Line 1,31-May-2024,2024,Team C,23.05,40.79,354.00,45.10,7.89,98.89,6.55,133.00,83.62,93.95,Pass,0,No,0,None,None
B001951,AED,Line 1,10-Oct-2024,2024,Team D,21.63,40.89,346.00,52.90,6.86,99.20,6.86,130.20,81.90,94.91,Pass,0,No,0,None,None
B000336,COX-2 Inhibitor,Line 2,25-Sep-2024,2024,Team B,22.81,43.41,328.00,46.80,6.77,98.40,6.85,128.00,89.56,93.96,Pass,0,No,0,None,None
B002747,Antidepressant,Line 1,29-Jan-2024,2024,Team A,22.07,46.24,299.00,40.90,6.81,98.90,7.15,123.80,87.89,94.91,Pass,0,No,0,None,None
B002806,Antidepressant,Line 3,27-Jul-2025,2025,Team B,21.17,38.05,338.00,39.60,6.14,98.83,7.00,125.90,84.98,94.91,Pass,0,No,0,None,None
B000199,Antidepressant,Line 1,21-Oct-2024,2024,Team B,21.25,36.46,308.00,37.90,7.07,99.30,6.66,137.00,89.27,94.90,Pass,0,No,0,None,None
B002348,AED,Line 3,13-May-2024,2024,Team C,21.59,47.69,342.00,51.90,7.79,99.04,7.08,146.10,83.00,94.90,Pass,0,No,0,None,None
B002353,Antidepressant,Line 2,26-Jan-2024,2024,Team B,22.32,29.48,296.00,40.40,8.21,99.59,6.72,144.80,87.87,94.90,Pass,0,No,0,None,None
B000895,COX-2 Inhibitor,Line 3,09-Jan-2024,2024,Team C,21.93,49.48,326.00,44.10,7.21,98.87,6.83,126.90,85.67,93.97,Pass,0,No,0,None,None
B000240,Antidepressant,Line 1,09-Sep-2025,2025,Team A,22.52,39.36,324.00,38.90,6.75,99.21,6.85,119.80,92.18,94.89,Pass,0,No,0,None,None
B000270,Antidepressant,Line 1,26-Mar-2024,2024,Team B,22.48,40.67,322.00,41.50,7.04,98.83,6.74,123.20,86.59,94.89,Pass,0,No,0,None,None
B000918,Antidepressant,Line 2,17-Mar-2024,2024,Team C,21.84,42.82,316.00,44.60,7.50,99.19,6.95,122.70,86.56,94.89,Pass,0,No,0,None,None
B001788,COX-2 Inhibitor,Line 3,27-May-2025,2025,Team A,,44.76,322.00,46.00,7.66,99.24,6.68,115.20,87.57,93.97,Pass,0,No,0,None,None
B001616,Antidepressant,Line 1,02-May-2025,2025,Team D,21.72,35.42,350.00,39.30,7.32,99.18,6.72,124.20,88.46,94.89,Pass,0,No,0,None,None
B002337,AED,Line 3,02-Aug-2024,2024,Team B,21.16,40.65,312.00,46.60,7.69,99.00,6.72,142.10,87.95,94.89,Pass,0,No,0,None,None
B000445,Antidepressant,Line 3,06-Jul-2024,2024,Team B,22.35,39.41,323.00,38.50,6.73,99.44,6.72,128.10,85.51,94.88,Pass,0,Yes,1,Equipment,Major
B000525,Antidepressant,Line 2,01-Jul-2025,2025,Team C,22.55,37.89,322.00,45.20,6.91,99.06,6.63,113.00,85.79,94.88,Pass,0,Yes,1,Process,Minor
B000535,Antidepressant,Line 3,31-Mar-2024,2024,Team A,23.63,44.79,319.00,38.10,7.40,98.82,6.88,128.30,88.92,94.88,Pass,0,Yes,1,Environmental,Minor
B002510,COX-2 Inhibitor,Line 2,10-Apr-2024,2024,Team C,23.35,44.55,295.00,47.50,7.95,99.09,6.71,138.60,84.91,93.97,Pass,0,No,0,None,None
B002066,AED,Line 2,23-May-2024,2024,Team A,22.32,44.51,323.00,44.50,7.54,98.57,6.89,,90.60,94.88,Pass,0,No,0,None,None
